plate_width_mm,upper_plate_height_mm,lower_plate_slant_mm,thickness_mm,mass_kg,mode1_hz,mode2_hz,mode3_hz,safe
40,50,60,6,0.000292,3133.13,4715.37,7968.71,1
40,50,60,8,0.000389,4052.25,5652.09,8252.17,1
40,50,60,10,0.000486,4695.71,6467.06,8629.15,1
40,50,60,12,0.000583,5637.96,7352.91,8902.06,1
40,50,60,14,0.00068,6652.4,8202.95,9225.32,1
40,50,70,6,0.000334,2216.87,3634.19,6054.06,1
40,50,70,8,0.000446,2942.48,4277.16,6279.96,1
40,50,70,10,0.000557,3576.39,5007.1,6577.86,1
40,50,70,12,0.000669,4300.73,5786.16,6849.66,1
40,50,70,14,0.00078,4817.8,6311.72,7047.04,1
40,50,80,6,0.000381,1667.08,2957.66,4855.61,1
40,50,80,8,0.000508,2117.14,3371.84,4961.08,1
40,50,80,10,0.000636,2656.05,4012.94,5114.09,1
40,50,80,12,0.000763,3046.58,4335.42,5256.35,1
40,50,80,14,0.00089,3484.37,4832.27,5457.63,1
40,50,90,6,0.000432,1420.88,2480.45,4013.28,1
40,50,90,8,0.000576,1644.62,2732.83,3995.45,1
40,50,90,10,0.00072,2064.61,3258.51,4142.68,1
40,50,90,12,0.000865,2356.97,3581.93,4256.6,1
40,50,90,14,0.001009,2659.32,3894.15,4386.66,1
40,50,100,6,0.000487,1108.4,2107.37,3335.24,1
40,50,100,8,0.00065,1355.42,2361.98,3373.82,1
40,50,100,10,0.000812,1538.69,2662.32,3485.69,1
40,50,100,12,0.000975,1861.78,3051.41,3595.64,1
40,50,100,14,0.001137,2214.02,3392.34,3662.75,1
40,62,60,6,0.000323,3068.47,4692.27,7963.91,1
40,62,60,8,0.000431,4054.76,5656.7,8314.11,1
40,62,60,10,0.000538,5070.6,6652.58,8796.77,1
40,62,60,12,0.000646,5937.3,7634.25,8945.54,1
40,62,60,14,0.000754,6933.74,8413.47,9307.98,1
40,62,70,6,0.000366,2193.59,3708.8,6135.51,1
